symbol,age,outcome,r,gross_r,cost_r
XRP/USDT,2,zone_not_touched,,,
XRP/USDT,19,SL,-1.9492028703612987,-1.3160676234537492,0.6331352469075494
XRP/USDT,8,zone_not_touched,,,
XRP/USDT,7,data_quality_ambiguous,,,0.4778441647206372
XRP/USDT,13,+2R,1.5255869359054215,2.0,0.4744130640945785
XRP/USDT,23,data_quality_ambiguous,,,0.5514536746490845
XRP/USDT,8,zone_not_touched,,,
XRP/USDT,6,zone_not_touched,,,
XRP/USDT,11,data_quality_ambiguous,,,0.7529786323825581
XRP/USDT,134,+2R,1.4098416167786914,2.0,0.5901583832213086
XRP/USDT,2,+1R,0.4140197161205983,1.0,0.5859802838794017
XRP/USDT,3,Pending,,,
HYPE/USDT,21,SL,-1.4892499862031707,-1.1627499954010647,0.32649999080210607
HYPE/USDT,13,BE,0.047039778994028225,0.41168922856014545,0.3646494495661172
HYPE/USDT,28,+2R,1.5537459364314459,2.0,0.446254063568554
HYPE/USDT,19,SL,-1.567085035726106,-1.1893616785753534,0.3777233571507526
HYPE/USDT,8,BE,0.04985371898120877,0.43631665681998,0.3864629378387712
HYPE/USDT,8,data_quality_ambiguous,,,0.3709005473915369
HYPE/USDT,62,BE,0.054375754022921885,0.47589322706878173,0.42151747304585985
HYPE/USDT,23,BE,0.052851248287430486,0.4625508474146683,0.4096995991272378
HYPE/USDT,29,zone_not_touched,,,
HYPE/USDT,2,+2R,1.590089589806402,2.0,0.40991041019359803
HYPE/USDT,1,zone_not_touched,,,
HYPE/USDT,241,zone_not_touched,,,
HYPE/USDT,0,+2R,1.5245361258413173,2.0,0.47546387415868285
HYPE/USDT,14,SL,-1.714425187723644,-1.2384750625745387,0.4759501251491053
HYPE/USDT,3,zone_not_touched,,,
HYPE/USDT,0,zone_not_touched,,,
HYPE/USDT,3,data_quality_ambiguous,,,0.5351731883586306
HYPE/USDT,155,BE,0.05369346008036896,0.469921832796518,0.41622837271614904
HYPE/USDT,30,data_quality_ambiguous,,,0.44794943755696826
HYPE/USDT,1,BE,0.05217606521965923,0.4566416870774327,0.40446562185777346
AKE/USDT,1,+1R,0.9470818922849429,1.0,0.052918107715057096
